Name,Duration,Date Added,Video ID,Status,desktop_mp4 URL,desktop_webm URL,mobile_low URL,youtube URL
AZ900T01-M2L3-Marketplace-Jan19.mp4,,,,,,,,5AeJIL2gtBg
AZ900T01-M2L3-Networking-Jan19.mp4,,,,,,,,lWsb-0HAuHw
AZ900T01-M2L3-Storage-Jan19.mp4,,,,,,,,gf7YLqhLiMo
AZ900T01-M2L4-AI-Jan19.mp4,,,,,,,,m3_QmvDX1q8
AZ900T01-M2L4-DataandAnalytics-Jan19.mp4,,,,,,,,UwPnPV7R1Uk
AZ900T01-M2L4-Devops-Jan19.mp4,,,,,,,,eoQqnVmSAog
AZ900T01-M2L4-IoT-Jan19.mp4,,,,,,,,at_qsDBMHMY
AZ900T01-M2L4-Serverless-Jan19.mp4,,,,,,,,IU_KW00fdHU
AZ900T01-M2L5-Advisor-Jan19.mp4,,,,,,,,6CmQOfc0Ueo
AZ900T01-M2L5-MgmtTools-Jan19.mp4,,,,,,,,oTiDdp8RICU
AZ900T01-M3L2-SecuringNetworkConnectivity-Jan19.mp4,,,,,,,,Gw8kj0UxTnk
AZ900T01-M3L4-CoreIdentityServices-Jan19.mp4,,,,,,,,ZIaYK7lDaPc
AZ900T01-M3L4-SecurityCenter-Jan19.mp4,,,,,,,,W9JsNvm4slU
AZ900T01-M3L4-SecurityToolsandServices-Jan19.mp4,,,,,,,,VS6FteQnzak
AZ900T01-M3L5-GovernanceMethodologies-Jan19.mp4,,,,,,,,auNrKaQ6WWI
AZ900T01-M3L6-AzureMonitor-Jan19.mp4,,,,,,,,D8hf43a4tJE
AZ900T01-M3L6-AzureServiceHealth-Jan19.mp4,,,,,,,,xB2wemiI7eQ
AZ900T01-M3L7-ComplianceManager-Jan19.mp4,,,,,,,,_kJJPLArecM
AZ900T01-M3L7-ComplianceTermsandRequirements-Jan19.mp4,,,,,,,,UeUIiq9O-pE
AZ900T01-M3L7-PrivacyStatement-Jan19.mp4,,,,,,,,uHTrFEJS0Dc
AZ900T01-M3L7-TrustCenterandSTP-Jan19.mp4,,,,,,,,w-CQ5pr4zKU
AZ900T01-M4L2-AzureSubscriptions-Jan19.mp4,,,,,,,,CXlJUfTMBLM
AZ900T01-M4L3-FactorsAffectingCost-Jan19.mp4,,,,,,,,9sMaAVG8wnk
AZ900T01-M4L3-MinimizingCosts-Jan19.mp4,,,,,,,,FEEHuM0Xjuw
AZ900T01-M4L3-PlanningCosts-Jan19.mp4,,,,,,,,_snVprbVm20
AZ900T01-M4L3-PurchasingOptions-Jan19.mp4,,,,,,,,LI6gdDCmU2w
AZ900T01-M4L4-AccessingSupport-Jan19.mp4,,,,,,,,8JHlu_9uhD4
AZ900T01-M4L4-SupportPlanOptions-Jan19.mp4,,,,,,,,_F3AHwc2JQI
AZ900T01-M4L6-FeatureReleaseandAccess-Jan19.mp4,,,,,,,,7xgZNq5kCNA
AZ900T01-Outro-Jan19.mp4,,,,,,,,Zoq2Bd0PmFc
